StudentID,year,class,student_department,course_code,course_name,semester,hours_per_week,course_credit,faculty_id,faculty_department,assigned_room,room_department,Block,assigned_lab,lab_machines
S0001,2,C,CHEM,C0421,Machine Learning,3,5,3,F0377,CHEM,301,Economics,C,LAB-101,96.0
S0001,2,C,CHEM,C0421,Machine Learning,3,5,3,F0377,CHEM,301,Economics,C,LAB-101,46.0
S0001,2,C,CHEM,C0287,Computer Networks,3,2,5,F0631,CHEM,322,Electrical,D,,
S0001,2,C,CHEM,C0287,Computer Networks,3,2,5,F0631,CHEM,322,Mechanical,F,,
S0001,2,C,CHEM,C0287,Computer Networks,3,2,5,F0631,CHEM,322,Chemical,G,,
S0001,2,C,CHEM,C0287,Computer Networks,3,2,5,F0631,CHEM,322,Mechanical,G,,
S0001,2,C,CHEM,C0114,Microbiology,5,5,5,F0296,CHEM,479,English,G,LAB-271,14.0
S0001,2,C,CHEM,C0114,Microbiology,5,5,5,F0296,CHEM,479,English,G,LAB-271,29.0
S0001,2,C,CHEM,C0114,Microbiology,5,5,5,F0296,CHEM,479,English,G,LAB-271,31.0
S0001,2,C,CHEM,C0114,Microbiology,5,5,5,F0296,CHEM,479,Computer Science,E,LAB-271,14.0
S0001,2,C,CHEM,C0114,Microbiology,5,5,5,F0296,CHEM,479,Computer Science,E,LAB-271,29.0
S0001,2,C,CHEM,C0114,Microbiology,5,5,5,F0296,CHEM,479,Computer Science,E,LAB-271,31.0
S0001,2,C,CHEM,C0114,Microbiology,5,5,5,F0296,CHEM,479,Mathematics,A,LAB-271,14.0
S0001,2,C,CHEM,C0114,Microbiology,5,5,5,F0296,CHEM,479,Mathematics,A,LAB-271,29.0
S0001,2,C,CHEM,C0114,Microbiology,5,5,5,F0296,CHEM,479,Mathematics,A,LAB-271,31.0
S0001,2,C,CHEM,C0114,Microbiology,5,5,5,F0296,CHEM,479,English,G,LAB-271,14.0
S0001,2,C,CHEM,C0114,Microbiology,5,5,5,F0296,CHEM,479,English,G,LAB-271,29.0
S0001,2,C,CHEM,C0114,Microbiology,5,5,5,F0296,CHEM,479,English,G,LAB-271,31.0
S0001,2,C,CHEM,C0114,Microbiology,5,5,5,F0296,CHEM,479,Mechanical,D,LAB-271,14.0
S0001,2,C,CHEM,C0114,Microbiology,5,5,5,F0296,CHEM,479,Mechanical,D,LAB-271,29.0
S0001,2,C,CHEM,C0114,Microbiology,5,5,5,F0296,CHEM,479,Mechanical,D,LAB-271,31.0
S0001,2,C,CHEM,C0114,Microbiology,5,5,5,F0296,CHEM,479,Electronics,H,LAB-271,14.0
S0001,2,C,CHEM,C0114,Microbiology,5,5,5,F0296,CHEM,479,Electronics,H,LAB-271,29.0
S0001,2,C,CHEM,C0114,Microbiology,5,5,5,F0296,CHEM,479,Electronics,H,LAB-271,31.0
S0001,2,C,CHEM,C0224,Machine Learning,5,4,3,F0891,CHEM,256,Electrical,B,,
S0001,2,C,CHEM,C0224,Machine Learning,5,4,3,F0891,CHEM,256,English,F,,
S0001,2,C,CHEM,C0917,Compiler Design,4,3,2,F0290,CHEM,276,Electrical,G,LAB-273,82.0
S0001,2,C,CHEM,C0917,Compiler Design,4,3,2,F0290,CHEM,276,Electrical,G,LAB-273,93.0
S0001,2,C,CHEM,C0917,Compiler Design,4,3,2,F0290,CHEM,276,Electrical,G,LAB-273,87.0
S0001,2,C,CHEM,C0917,Compiler Design,4,3,2,F0290,CHEM,276,Chemical,G,LAB-273,82.0
S0001,2,C,CHEM,C0917,Compiler Design,4,3,2,F0290,CHEM,276,Chemical,G,LAB-273,93.0
